,Unnamed: 0,id,message_body,Category,Sub-Category
0,1,2,How much was I charged ?,Inquiry,Payment
1,2,4,For 1 1/2 hours?,Inquiry,Payment
2,3,6,Ok  No one else was paying But we did,Complaint,NOMATCH
3,6,22,No I only parked for an hour it was supposed to be $20,Dispute,Payment
4,7,24,No. I thought I did it yesterday but apparently not. We left after about four hours yesterday.,Inquiry,Update
5,10,37,"Want to make sure I don't get charged extra, I left my spot last night at 7:30pm but this morning the App showed I was still parked there",Inquiry,Update
6,11,43,I didn't know I had to check out. I just looked and did.,Inquiry,Reservation
7,13,53,I've pressed swipe up for translation and it said park,Error,NOMATCH
8,14,54,If that payment doesn't work then I can immediately give another payment card,Inquiry,Payment
9,15,55,I can come down now and give it to you,Inquiry,Update
10,17,59,No the card wasn't working through the app so I used the website it took me too then signed in as guest,Issue,Payment
11,18,63,$$$$$ I only needed to be there an hour. $21 is too much for an hour!!! Parked at a different lot for $12. Thanks!,Complaint,Payment
12,19,65,Having issues with the app,Inquiry,Issue
13,21,86,I'm so sorry about that!! ):,Apology,NOMATCH
14,23,89,"Sorry, I deleted the app after I left last night around 10:00PM",Inquiry,Update
15,24,131,I tried to check out a few hours ago but the app wouldn't allow it.,Inquiry,Reservation
16,27,225,We left a long time ago. I forgot to check out.,Error,Cancellation
17,29,313,The user experience wasn't great. I was hoping to pay for parking,Inquiry,Payment
18,30,314,I thought I had paid,Inquiry,Payment
19,31,315,Spot 45,Location,Location
20,32,317,I thought I had paid through Parkquility,Inquiry,Payment
21,33,318,"If I haven't, is there a way to do that?",Inquiry,NOMATCH
22,35,324,There was an all day parking rate.  I had selected 12 hours,Inquiry,Payment
23,36,329,Yes I authorize you to charge my card,Authorization,Payment
24,37,330,I authorize my card from 10:30-10:30 cst,Authorization,Payment
25,38,331,Just in case I was ticketed before then,Inquiry,Issue
26,41,359,It expired about 10 hours ago,Inquiry,Issue
27,42,410,I left last night,Inquiry,NOMATCH
28,43,412,I have left,Location,NOMATCH
29,44,419,Can you check out,Inquiry,Reservation
30,45,420,I left at 7 pm yesterday,Inquiry,Update
31,46,421,It doesn't let me,Error,Issue
32,49,927,Changed my spot.,Update,Update
33,50,936,We left yesterday,Inquiry,NOMATCH
34,52,996,Yes out since yesterday,Complaint,Issue
35,53,1065,"I didn't mean to cancel my first reservation I just wanted to extend, will I still be charged twice? ",Inquiry,Extension
36,54,1256,Check out,Inquiry,Reservation
37,55,1293,I was in and out this Am at 9? Don't know what to do,Inquiry,Issue
38,56,1510,Thank you I love you,Miscellaneous,NOMATCH
39,58,1640,Left then came back to spot 14,Location,Update
40,60,1786,I am driving out for food. Will return,Inquiry,Reservation
41,61,1886,I left town for a couple of days and left me van parked there and now I can't extend the time any longer,Inquiry,Extension
42,62,1907,Im leaving tomorrow morning 9:30am i didnt leave somebody parked in the spot i was given i parked in spot next to it,Inquiry,Issue
43,63,2127,I moved spots over to Parking spot 42,Inquiry,Location
44,64,2171,Check me out please...we left at 4 pm thus evening,Inquiry,Reservation
45,65,2231,Leaving,Location,NOMATCH
46,66,2278,I was only there for 2 hours,Inquiry,Payment
47,69,2402,I leaving now,Departure,NOMATCH
48,73,2774,I'm Driving  - Sent from MY CAR,Location,NOMATCH
49,74,3080,Need to extend until noon today,Inquiry,Extension
50,75,3143,Not leaving,Complaint,NOMATCH
51,76,3216,Check out,Inquiry,Reservation
52,78,3574,It ended on its own.,Inquiry,NOMATCH
53,79,3576,I have to pay now a 3rd time. So can I get a refund for the second one as well. I am at work until 11ish so I need the space,Inquiry,Refund
54,80,3592,It was canceled. I need a refund for all of it please. I am having to leave work and move my car so it doesn't get towed,Refund,Cancellation
55,81,3602,I got a ticket,Complaint,Issue
56,82,3797,Sorry we left early in the day,Inquiry,Cancellation
57,83,4674,The app won't download.  I have left the spot,Error,Issue
58,84,4675,I'm am checked out,Checkout,Reservation
59,85,4737,6:00 PM,Time,Location
60,86,4739,Why 11 it says it's $10 parking,Inquiry,Payment
61,87,4742,Convenience ?,Inquiry,NOMATCH
62,89,4745,What convenience ? Is there a different way to pay,Inquiry,Payment
63,91,5004,Checked out,Departure,Reservation
64,92,5426,Update spot,Inquiry,Update
65,94,5436,"Yes, I went to grab something to eat and came back",Update,NOMATCH
66,95,5442,I have already parked and left the area I won't be able to move my vehicle for another 2 hours,Inquiry,Reservation
67,96,5450,no I'm in 38 now,Location,NOMATCH
68,97,5452,I'm in 27 now sorry,Location,NOMATCH
69,98,5453,thinking of last night,Miscellaneous,NOMATCH
70,101,5458,in 27 still,Location,Location
71,102,5459,we will be heading back shortly,Update,Reservation
72,103,5460,we moved,Location,NOMATCH
73,104,5462,will text u our updated number once we get back,Update,Update
74,106,5464,aren't on property right now,Inquiry,NOMATCH
75,108,5492,We are in 28 now,Location,Location
76,114,5831,I don't have the app,Inquiry,Issue
77,115,5833,Yeah I Left please stop texting me,Abuse,NOMATCH
78,119,6245,Ive already left,Departure,Cancellation
